Tỉnh,Số thí sinh,Toán Số bài,Toán Điểm TB,Văn Số bài,Văn Điểm TB,Lý Số bài,Lý Điểm TB,Hóa Số bài,Hóa Điểm TB,Sinh Số bài,Sinh Điểm TB,Sử Số bài,Sử Điểm TB,Địa Số bài,Địa Điểm TB,GD Kinh tế - Pháp luật Số bài,GD Kinh tế - Pháp luật Điểm TB,Tin học Số bài,Tin học Điểm TB,Ngoại ngữ Số bài,Ngoại ngữ Điểm TB
Hồ Chí Minh,139678,138465,6.189041273968151,137743,6.591122597881562,63486,5.480346848123996,37581,6.227693515340198,10829,6.247672915319974,40542,6.319206008583691,33141,5.218978003077758,22750,5.460786813186813,2017,6.5458353991075855,64794,5.373803901595827
Hà Nội,126867,125070,6.16365395378588,125615,7.016347569955817,37540,6.015990942994139,17852,6.5638219807304505,3928,6.452596741344196,58003,6.269252452459356,38959,5.019625760414796,30117,5.178226582992994,1537,6.143233571893298,59814,5.566875146286822
Hải Phòng,56819,56499,6.011078072178269,56416,7.252736812251844,18630,5.809522275899087,10204,6.443884751078008,1259,6.699245432883241,23199,6.3400426742532,24982,5.294371947802418,13501,5.290256277312792,248,6.257862903225806,19429,5.089209429203768
Đồng Nai,52568,52159,5.510016488046166,52096,5.737950130528255,18875,5.29515761589404,11339,6.093460622629862,2369,5.78830730265935,23773,5.939626887645648,20684,4.87350125701025,10406,4.991029213915049,677,6.300147710487444,15021,4.869948738432861
Ninh Bình,48238,47818,6.264931615709566,47706,7.257001215779986,18399,5.932289798358607,14262,6.3919611555181595,2070,6.128429951690822,21020,6.593016175071361,19506,5.629657541269354,5889,5.297733061640346,210,7.218333333333333,14606,4.809444748733397
Phú Thọ,47668,46961,5.701621558314345,47312,6.747121449103822,10141,6.063746178877823,7438,6.54337187415972,1937,6.016623644811565,26384,6.689605442692541,24865,5.54603458676855,10255,5.327991223793271,297,6.0919191919191915,12384,4.980842215762274
Bắc Ninh,43812,43447,5.820301746956061,43425,6.3444193436960274,13890,5.839287257019438,9412,6.360242243943901,1011,6.9119188921859545,21055,6.312118261695559,19859,5.254685533007704,9627,5.105256050690765,252,6.296428571428572,10780,5.136897031539888
Hưng Yên,43232,42860,5.987697153523099,42816,6.556059650597907,14930,5.731496985934361,10027,6.4127306273062725,1601,5.989912554653342,21535,6.2726700719758535,15844,5.055071320373643,8522,5.005837831494954,286,6.398076923076923,12078,4.852438317602252
Thanh Hóa,42429,41632,5.374215747501922,42144,7.0031819476082,10305,5.7190878214459,8435,6.163147599288679,1824,5.905921052631578,23663,6.237292397413683,20818,5.08852675569219,9566,4.991783399540037,116,6.470689655172414,9142,4.824327280682564
Nghệ An,41676,41207,5.9035103259155,41300,7.026966828087167,10960,6.054206204379563,8835,6.759943406904357,2941,5.580737844270656,20504,6.523471030042918,17892,5.323653029286833,12144,5.067934782608695,418,6.923564593301436,7780,5.200867609254499
Lâm Đồng,40985,40563,5.363323718659863,40625,6.611585969230769,13864,5.237835401038661,8705,6.138862722573234,2431,5.8242492801316335,19592,6.093288076766027,13044,5.0458754983134,11454,4.941151562772831,1218,6.04388341543514,9119,4.716279197280404
Gia Lai,37378,36829,5.427675201607429,37065,6.167841359773371,12653,5.423954793329646,8159,6.33192793234465,1848,5.820535714285715,18129,5.897531579237686,12502,4.746448568229083,9668,4.631050889532478,620,5.981209677419355,9095,4.672869708631116
Vĩnh Long,36320,35931,5.131151373465809,36084,4.997606972619443,11434,5.0786251530523,8513,6.045512745213203,3281,5.476592502285889,17613,5.968702095043434,13627,4.888772290306011,9444,4.98683290978399,1216,5.869901315789474,5348,4.743268511593119
Đà Nẵng,35526,34952,5.673924238956283,35015,5.7567613879765815,14053,5.591870063331673,8437,6.454444707834538,1610,6.365465838509317,14381,5.835616438356165,9680,4.912128099173554,7866,4.779030002542588,904,6.571017699115044,11508,4.952315780326729
Đắk Lắk,35280,34774,5.138491401621901,34951,5.668843237675603,10749,5.238710577728161,7788,6.009887005649717,2174,5.588615455381785,17531,5.680580115224459,12761,4.612463756758875,9853,4.670567339896478,526,5.945437262357415,7160,4.727164804469274
Cần Thơ,34071,33446,5.07444238473958,33613,6.359299675720703,10058,5.0015559753430106,7879,6.001078817108771,3575,5.7654265734265735,16314,6.037329900698786,11275,4.90749889135255,9317,4.911071160244713,1389,5.709071274298056,6162,4.762009087958455
Tây Ninh,29035,28594,5.4572847450514095,28838,5.542208197517165,11369,5.065221215586243,8056,5.9124255213505466,1812,5.597019867549668,12053,6.116825686551066,9922,5.140445474702681,6252,5.154166666666667,164,6.39390243902439,7416,4.542307173678533
Thái Nguyên,22582,22192,5.128731074260995,22311,6.636233248173546,5068,5.4847474348855565,3520,6.305056818181818,1078,5.675927643784786,12239,5.9301290955143395,9880,4.695931174089069,7739,4.77941594521256,229,5.773580786026201,4169,4.845586471575918
Khánh Hòa,21874,21648,5.374057649667406,21686,6.452176980540441,7982,5.2799423703332495,4525,6.210088397790056,1007,5.827010923535253,9078,5.818820224719101,7073,4.761155096847165,5550,4.862441441441441,856,5.515303738317757,6218,4.83097458990029
Quảng Trị,21568,21231,5.424228722151571,21303,6.599868563113176,5851,5.5792770466586905,3762,6.497434875066453,1370,5.508065693430657,11179,6.12152249754003,6808,5.1684195064629845,6951,4.751496187598907,797,5.695357590966123,3905,5.053008962868118
Quảng Ngãi,21481,21130,5.5230028395646,21325,6.586572567409144,7429,5.432918293175394,4702,6.3832730752871125,787,5.9219186785260485,11022,5.870749410270369,7848,4.689589704383282,4639,4.513936193145074,341,5.871994134897361,4658,4.788804207814513
Quảng Ninh,20591,20383,5.505901977137811,20491,6.334484407788786,4471,6.002974726012078,2348,6.646443781942079,755,6.013708609271523,10419,6.162290047029465,9595,5.003689421573736,6006,5.083158508158508,191,6.289005235602095,6241,5.268867168722961
Lào Cai,19715,19338,4.880393525700693,19596,6.166428352725046,3213,5.383722377840026,2158,6.228799814643188,1718,4.940861466821886,12910,5.9768667699457785,8686,4.900725305088648,5758,4.643331017714484,177,5.601694915254237,3246,4.838955637707948
Cà Mau,19534,19265,5.153682844536725,19371,6.5618517371328275,5901,5.047127605490594,4856,5.830498352553542,2211,5.5255314337403885,10632,6.322874341610233,6868,5.375793535235876,4275,5.079859649122806,639,5.812206572769953,2862,4.59538784067086
Hà Tĩnh,18487,18283,5.980645955258983,18318,6.978668522764494,4554,6.251032059727712,3400,6.899073529411765,928,6.2294719827586205,9579,6.320946862929325,9598,5.281470097937071,4031,5.23651699330191,78,7.503205128205129,4477,5.024681706499888
Tuyên Quang,18050,17589,5.069492296321565,17896,6.182065824765311,2678,5.826923076923077,2058,6.766132167152576,1666,5.0240396158463385,13063,6.313928653448672,6796,5.230002942907593,5207,4.917351642020357,322,5.382608695652174,2194,5.372493163172288
Sơn La,14162,13449,4.245003345973679,14026,5.388935548267503,1668,5.305905275779376,1397,5.840229062276307,1224,4.758169934640523,8356,5.893591431306845,7141,4.668799887970873,6077,4.3424716142833635,293,4.863139931740615,1144,4.9497377622377625
Huế,14087,13812,5.800383724297712,13907,6.5195052851082185,4481,5.830205311314439,3101,6.76196388261851,1013,6.006564659427442,5970,6.214237855946399,3478,5.411874640598045,4135,4.998960096735187,478,5.969769874476988,4100,5.015487804878049
Lạng Sơn,10058,9788,4.795872496935022,9922,5.87311026002822,2088,5.125598659003831,1253,5.972306464485236,457,5.288621444201313,6050,6.110702479338843,5298,4.898452246130615,2395,4.842922755741127,101,5.264851485148514,1566,4.966475095785441
