Môn,Số bài thi,Điểm TB,Trung vị,Cao nhất,Thấp nhất,Tỷ lệ >= 5 (%),Tỷ lệ >= 8 (%)
Văn,1120848,6.493,6.75,9.75,0.0,88.64,13.81
Hóa,232373,6.302,6.5,10.0,0.65,78.27,18.2
Sử,528471,6.185,6.1,10.0,0.0,73.99,18.73
Tin học,16765,6.062,6.0,10.0,1.6,74.6,13.1
Sinh,62244,5.855,5.75,10.0,1.2,68.55,13.22
Toán,1116603,5.672,5.5,10.0,0.45,62.35,16.06
Lý,360054,5.582,5.5,10.0,0.0,61.13,11.14
Ngoại ngữ,328292,5.117,5.0,10.0,0.5,50.66,7.57
Địa,416937,5.096,5.0,10.0,0.0,52.82,4.19
GD Kinh tế - Pháp luật,264079,5.012,5.0,10.0,0.75,51.71,1.24
